parkingLotSeq,PArkingLotName,parkingLotNewAddr,parkingLotOldAddr,IsChecked,modifyDate,regDate
222120,중화2동3,,서울 중랑구 중화동 73-3,0,2020-03-25 11:30:41,2020-03-25 09:51:20
222116,사가정,,서울특별시 중랑구 면목동 1081-1,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222137,수유쌈지,,서울특별시 강북구 수유동 612-6,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222138,어울림소공원,"",서울 강북구 미아동 3-28,0,2020-03-25 11:14:27,2020-03-25 09:51:20
222145,교통광장,서울특별시 강북구 삼양로 678,,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222440,앞산공원,대구광역시 남구 봉덕동 1566-1,,0,2020-06-09 15:54:51,2020-06-09 15:54:51
222462,외환들,대구광역시 수성구 삼덕동 360-5,,0,2020-06-09 15:54:51,2020-06-09 15:54:51
222533,방촌시장,대구광역시 동구 방촌동 1072-1,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222547,도평동 제2,대구광역시 동구 도동 978-401,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222549,율하역 환승,대구광역시 동구 율하동 840-40,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222548,안심2동,대구광역시 동구 용계동 923-3,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222550,동촌동,대구광역시 동구 검사동 743-7,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222555,불로동,대구광역시 동구 불로동 661,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222558,율암동,대구광역시 동구 율암동 524-416,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222564,도시철도안심기지,대구광역시 동구 대림동 504-1,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222567,동촌유원지 서편1,대구광역시 동구 효목동 1040,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222566,안심도서관,대구광역시 동구 율하동 1627,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222559,해안동,대구광역시 동구 방촌동 126-2,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222580,신서혁신도시 나불지,대구광역시 동구 각산동 1131,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222601,산격4동 ,대구광역시 북구 산격동 1216-24,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222728,우방아파트 ,대구광역시 달서구 장기로26길 30,대구광역시 달서구 성당동 725,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222772,"평광1,2차~청구아파트 진입로",대구광역시 달성군 논공읍 북리 803-3,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222773,서경여행사 네거리 ~ 평광 3차 구간,대구광역시 달성군 논공읍 북리 824-18,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222779,현풍천변로1,대구광역시 달성군 현풍읍 부리 512,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222788,현풍 상리 마을단위 ,대구광역시 달성군 현풍읍 상리 661,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222787,현풍 상리 ,대구광역시 달성군 현풍읍 상리 531-2,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222789,현풍 하리 마을,대구광역시 달성군 현풍읍 하리 42,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222790,하빈 현내리 마을,대구광역시 달성군 하빈면 현내리 135-2,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
222791,하빈 대평리 마을,대구광역시 달성군 하빈면 대평리 165,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
222794,구지 오설리 ,대구광역시 달성군 구지면 오설리 568-4,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
222777,유가 금리공단 ,대구광역시 달성군 유가면 금리 22-3,,0,2020-06-09 15:54:52,2020-06-09 15:54:52
222801,"송해공원 3,4",대구광역시 달성군 옥포읍 기세리 969-68,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
222797,유가사,대구광역시 달성군 유가읍 양리 산3-16,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
222799,테크노중앙공원,대구광역시 달성군 유가읍 봉리 624,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
222782,다사문양마을 ,대구광역시 달성군 다사읍 문양리 470,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
222804,"송해공원 1,2",대구광역시 달성군 옥포읍 기세리 777-1,,0,2020-06-09 15:54:53,2020-06-09 15:54:53
